name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
 GA-400CS-9ADR, Nam, 55mm × 51.9mm, Mineral Crystal (Kính Cứng), Dây Cao Su, Quartz (Pin), 20 ATM, Nhật Bản, Casio,4.713.000 ₫
 EFR-526L-1AVUDF, Nam, 43.8mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 10 ATM, Nhật Bản, Casio,3.356.000 ₫
 FKU00003W0, Nam, 42 mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Quartz (Pin), 5 ATM, Nhật Bản, Orient,4.610.000 ₫
 GB90063/06, Nam, 36mm, Mineral Crystal (Kính Cứng), Thép Không Gỉ, Quartz (Pin), 3 ATM, Thụy Sỹ, Rotary,9.000.000 ₫
 MTP-1308L-1AVDF, Nam, 43.5mm, Mineral Crystal (Kính Cứng), Dây Da Chính Hãng, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.243.000 ₫
 L2.673.4.78.6, Nam, 40 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,94.875.000 ₫
 L4.821.4.12.6, Nam, 34.5 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,35.937.500 ₫
 L4.821.4.52.6, Nam, 35 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,30.800.000 ₫
 L4.821.4.72.6, Nam, 35 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,30.800.000 ₫
 EFR-539BK-1AVUDF, Nam, 49.5mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 10 ATM, Nhật Bản, Casio,5.898.000 ₫
 MTP-1130N-1ARDF, Nam, 35.5 mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 3 ATM, Nhật Bản, Casio,1.477.000 ₫
 A159WGEA-1DF, Nam/Nữ, 36mm x 33mm, Resin Glass (Kính Nhựa),NULL, Quartz (Pin), 3 ATM, Nhật Bản, Casio,1.917.000 ₫
 EFR-539D-1AVUDF, Nam, 49.5mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 10 ATM, Nhật Bản, Casio,4.984.000 ₫
 DW-6900-1VDR, Nam, 50 mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 20 ATM, Nhật Bản, Casio,3.109.000 ₫
 T101.410.22.031.00, Nam, 39 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 10 ATM, Thụy Sỹ, Tissot,11.200.000 ₫
 T063.617.11.037.00, Nam, 42 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 3 ATM, Thụy Sỹ, Tissot,14.700.000 ₫
 T063.610.16.037.00, Nam, 42 mm, Sapphire (Kính chống trầy), Dây da chính hãng, Quartz (Pin), 3 ATM, Thụy Sỹ, Tissot,9.100.000 ₫
 T063.610.11.037.00, Nam, 42 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 3 ATM, Thụy Sỹ, Tissot,10.500.000 ₫
 GB90113/03, Nam, 39 mm, Sapphire (Kính Chống Trầy),  Thép Không Gỉ, Quartz (Pin), 3 ATM, Thụy Sỹ, Rotary,9.790.000 ₫
 T035.627.11.031.00, Nam, 43 mm, Sapphire (Kính chống trầy), Thép không gỉ, Automatic (Tự động), 10 ATM, Thụy Sỹ, Tissot,29.050.000 ₫
 T101.410.11.031.00, Nam, 39 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 10 ATM, Thụy Sỹ, Tissot,9.100.000 ₫
 T085.407.11.011.00, Nam, 40 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Tissot,19.250.000 ₫
 T035.410.16.031.00, Nam, 39 mm, Sapphire (Kính Chống Trầy), Dây Da Chính Hãng, Quartz (Pin), 10 ATM, Thụy Sỹ, Tissot,10.850.000 ₫
 L4.860.4.11.6, Nam, 35 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,37.375.000 ₫
 L4.821.4.11.6, Nam, 34.5 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,35.937.500 ₫
 L4.774.4.52.6, Nam, 35.4 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Automatic (Tự Động), 3 ATM, Thụy Sỹ, Longines,41.687.500 ₫
 L4.709.2.11.8, Nam, 33 mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 3 ATM, Thụy Sỹ, Longines,34.320.000 ₫
 C4559/2, Nam, 41mm, Sapphire (Kính Chống Trầy), Dây Da Chính Hãng, Quartz (Pin), 5 ATM, Thụy Sỹ, Candino,6.330.000 ₫
 AR1113-12B, Nam, 39mm, Sapphire (Kính Chống Trầy), Dây Da Chính Hãng, Eco-Drive (Năng Lượng Ánh Sáng), 3 ATM, Nhật Bản, Citizen,8.120.000 ₫
 58062-04DMK-GL-V, Nam, 40 mm, Sapphire (Kính Chống Trầy), Dây Da Chính Hãng, Quartz (Pin), 5 ATM, Nhật Bản, Olym Pianus (Olympia Star),4.670.000 ₫
 FGW01001W0, Nam, 38mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 5 ATM, Nhật Bản, Orient,6.330.000 ₫
 FGW01003W0, Nam, 38mm, Sapphire (Kính Chống Trầy), Thép Không Gỉ, Quartz (Pin), 5 ATM, Nhật Bản, Orient,6.330.000 ₫
 EFR-539D-1A2VUDF, Nam, 49mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 10 ATM, Nhật Bản, Casio,4.984.000 ₫
 MTP-1314D-1AVDF, Nam, 45mm, Mineral Crystal (Kính Cứng),NULL, Quartz (Pin), 5 ATM, Nhật Bản, Casio,1.347.000 ₫
