name,Gender,Face_Diameter,Glass_material,Wire_material,Apparatus,Waterproof,Origin,agency,Price
  QQ-C214J315Y,Nam,40 mm,Kínhcứngchịulực,Dây da,Quartz/Pin,3ATM,Nhật Bản,Q&Q,637.200đ
  AT-87463.41.61,Nam,42mm,Sapphire,Dây da,Quartz (Điện tử),10 ATM,Thụy Sỹ,Atlantic Swiss,11.268.000đ
  AG-G9008 RG-BK,Nam,46 mm,Sapphire,Dây da,Automatic (Cơ),5  ATM,Singapore,Aries Gold,11.002.500đ
  QQ-GW86J005Y,Đồng hồ Nam,55 mm,Kínhcứngchịulực,Dây cao su,Quartz/Pin,10ATM,Nhật Bản,Q&Q,2.041.200đ
  AT-63365.45.21,Nam,42mm,Sapphire,Thép không gỉ mạ PVD,Quartz (Điện tử),10 ATM,Thụy Sỹ,Atlantic Swiss,15.273.000đ
  CT-NH8393-05A,Đồng hồ Nam,40 mm,CrystalGlass,Dây da chính hãng, Automatic (Cơ tự động),5 ATM,Nhật Bản,Citizen,7.539.300đ
  AT-63560.45.21,Nam,42mm,Sapphire,Dây da,Quartz (Điện tử),10 ATM,Thụy Sỹ,Atlantic Swiss,16.533.000đ
  CT-NH8395-77E,Đồng hồ Nam,40 mm,CrystalGlass,Stainless Steel, Automatic (Cơ tự động),5 ATM,Nhật Bản,Citizen,8.889.300đ
  JL-1-1852E,Nam,38 mm,hardenedcrystexcrystal(Kínhcứng),Thép không gỉ,Quartz (Điện tử),5  ATM,Áo,Jacques lemans,3.699.000đ
  AT-68551.41.22,Đồng hồ Nam,42mm,Sapphiretinhthể,Dây da,Quatz ( Máy pin ),5ATM,Thụy Sỹ,Atlantic Swiss,11.268.000đ
  QQ-A190-212Y,Đồng hồ Nam,38 mm,Kínhcứngchịulực,Hợp kim thép,Quartz/Pin,3ATM,Nhật Bản,Q&Q,1.177.200đ
  QQ-M132J007Y,Đồng hồ Nam,52 mm,Kínhcứngchịulực,Dây cao su,Quartz/Pin,10ATM,Nhật Bản,Q&Q,1.382.400đ
  JL-1-1904D,Nam,30X37 mm,hardenedcrystexcrystal(Kínhcứng),Dây da,Quartz (Điện tử),5  ATM,Áo,Jacques lemans,4.671.000đ
  JL-1-1117.1NN,Nam,44 mm,hardenedcrystexcrystal(Kínhcứng),Dây da,Quartz (Điện tử),20  ATM,Áo,Jacques lemans,6.291.000đ
  E-3427.130.34.58.25,Đồng hồ Nam,40mm,Kínhsapphire,Dây da,Automatic (Cơ tự động),5ATM,Thụy Sỹ,Epos Swiss,28.260.000đ
  JL-1-1929C,Đồng hồ Nam,38 mm,hardenedcrystexcrystal(Kínhcứng),Dây da,Quartz (Điện tử),5  ATM,Áo,Jacques lemans,2.583.000đ
  E-3387.152.20.15.30,Đồng hồ nam,39 mm,Sapphire,Thép không gỉ,Automatic,3 ATM,Thụy Sỹ,Epos Swiss,34.740.000đ
  E-3387.152.20.16.15,Đồng hồ nam,39 mm,Sapphire,Dây da chính hãng,Automatic,3 ATM,Thụy Sỹ,Epos Swiss,31.860.000đ
  E-3387.152.20.16.30,Đồng hồ nam,39 mm,Sapphire,Thép không gỉ,Automatic,3 ATM,Thụy Sỹ,Epos Swiss,34.740.000đ
 ST-307B.334469,Nam,39mm,Krysternacrystal(kínhcứng),Thép không gỉ,Quartz (Điện tử),3 ATM,Thụy Sỹ,Stuhrling Original,12.744.000đ
  3387.152.20.18.30,Đồng hồ nam,39 mm,Sapphire,Thép không gỉ,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,34.740.000đ
  E-3390.152.20.10.30,Đồng hồ nam,41 mm,Sapphire,Thép không gỉ,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,34.650.000đ
  CT-AW1670-82A,Đồng hồ Nam,41.5 mm,Kínhkhoáng(Mineral),Thép không gỉ,Quartz/Pin,10 ATM,Nhật Bản,Citizen,4.950.000đ
  AG-G1013Z G-S-L,Đồng hồ nam,40 mm,Mineral(Kínhcứng),Dây da,Quartz/Pin,3  ATM,Singapore,Aries Gold,2.227.500đ
  E-3390.152.20.20.25,Đồng hồ nam,41 mm,Sapphire,Dây da chính hãng,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,32.490.000đ
  E-3390.152.20.20.30,Đồng hồ nam,41 mm,Sapphire,Thép không gỉ,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,34.650.000đ
  QQ-Q946J101Y,Đồng hồ Nam,39 mm,Kínhcứngchịulực,Dây da,Quartz/Pin,3 ATM,Nhật Bản,Q&Q,658.800đ
  E-3390.152.20.25.25,Đồng hồ nam,41 mm,Sapphire,Dây da chính hãng,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,32.490.000đ
  E-3390.152.20.25.30,Đồng hồ nam,41 mm,Sapphire,Thép không gỉ,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,34.650.000đ
 ST-515.02,Đồng hồ Nam,42 mm,Krysternacrystal(kínhcứng),Stainless Steel,Quartz/Pin,10ATM,Thụy Sỹ,Stuhrling Original,6.561.000đ
  E-3402.142.20.34.25,Đồng hồ nam,43 mm,Sapphire,Dây da chính hãng,Automatic,10 ATM,Thụy Sỹ,Epos Swiss,29.700.000đ
  E-3402.142.20.34.30,Đồng hồ nam,43 mm,Sapphire,Thép không gỉ,Automatic,10 ATM,Thụy Sỹ,Epos Swiss,31.770.000đ
  CT-AG8353-81P,Đồng hồ Nam,40mm,Mineral(Kínhcứngchịulực),Thép không gỉ mạ PVD,Quartz (Điện tử),5ATM,Nhật Bản,Citizen,3.645.000đ
  QQ-Q888J205Y,Đồng hồ Nam,44 mm,Kínhcứngchịulực,Hợp kim thép,Quartz/Pin,5ATM,Nhật Bản,Q&Q,982.800đ
  QQ-VM96-201Y,Đồng hồ Nam,43 mm,Kínhcứngchịulực,Hợp kim thép,Quartz/Pin,3ATM,Nhật Bản,Q&Q,766.800đ
  PA-555.2,Đồng hồ Nam,42 mm,TrángSapphire,Stainless Steel, Automatic (Cơ tự động),5 ATM,Nhật Bản,Philippe Auguste,17.999.100đ
  E-3402.142.20.36.25,Đồng hồ nam,44 mm,Sapphire,Dây da chính hãng,Automatic,10 ATM,Thụy Sỹ,Epos Swiss,29.700.000đ
  E-3402.142.20.36.30,Đồng hồ nam,43 mm,Sapphire,Thép không gỉ,Automatic,10 ATM,Thụy Sỹ,Epos Swiss,31.770.000đ
  QQ-Q594J205Y,Đồng hồ Nam,38 mm,Kínhcứngchịulực,Hợp kim thép,Quartz/Pin,3ATM,Nhật Bản,Q&Q,766.800đ
  QQ-VR86J003Y,Đồng hồ Nam,47 mm,Kínhcứngchịulực,Dây cao su,Quartz/Pin,10ATM,Nhật Bản,Q&Q,864.000đ
 ST-564.01,Đồng hồ Nam,42 mm,Krysternacrystal(kínhcứng),Stainless Steel,Quartz/Pin,5 ATM,Thụy Sỹ,Stuhrling Original,7.677.000đ
 ST-564L.03,Đồng hồ Nam,42 mm,Krysternacrystal(kínhcứng),Dây da chính hãng,Quartz/Pin,5 ATM,Thụy Sỹ,Stuhrling Original,8.289.000đ
  E-3410.142.20.15.30,Đồng hồ nam,39 mm,Sapphire,Dây da chính hãng,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,31.410.000đ
  QQ-VR82J003Y,Đồng hồ Nam,50 mm,Kínhcứngchịulực,Dây cao su,Quartz/Pin,10ATM,Nhật Bản,Q&Q,885.600đ
  AG-BR68Q G-MOP,Nam,30 mm,Sapphire,Dây da,Quartz/Pin,5  ATM,Singapore,Aries Gold,4.925.250đ
  CT-AU1083-13H,Đồng hồ Nam,38 mm,Sapphire,Dây da,Eco-Drive (Năng Lượng Ánh Sáng),3 ATM,Nhật Bản,Citizen,4.788.000đ
  E-3391.832.20.16.25,Đồng hồ Nam,41mm,Kínhsapphire,Dây da,Automatic (Cơ tự động),5ATM,Thụy Sỹ,Epos Swiss,68.400.000đ
  E-7000.701.22.18.25,Đồng hồ Nam,41mm,Kínhsapphire,Dây da,Quartz (Điện tử),5ATM,Thụy Sỹ,Epos Swiss,13.230.000đ
  JL-1-1937E,Đồng hồ Nam,36 mm,hardenedcrystexcrystal(Kínhcứng),Dây da,Quartz (Điện tử),5  ATM,Áo,Jacques lemans,3.888.000đ
  AT-71465.45.21,Nam,42mm,Sapphire,Thép  không gỉ mạ PVD,Quartz,10ATM,Thụy Sỹ,Atlantic Swiss,21.024.000đ
  E-3390.302.20.54.25,Đồng hồ nam,41 mm,Sapphire,Dây da chính hãng,Automatic,5 ATM,Thụy Sỹ,Epos Swiss,39.420.000đ
  CT-BF2005-54A,Nam,41 mm,MineralCrystal,Stainless Steel,Quartz/Pin,5 ATM,Nhật Bản,Citizen,3.924.000đ
  E-3420.152.20.14.30,Đồng hồ nam,41 mm,Sapphire,Thép không gỉ,Automatic,3 ATM,Thụy Sỹ,Epos Swiss,37.170.000đ
  E-3420.152.20.16.30,Đồng hồ nam,40 mm,Sapphire,Thép không gỉ,Automatic,3 ATM,Thụy Sỹ,Epos Swiss,37.170.000đ
  CT-BM7418-17A,Nam,42 mm,Krysternacrystal(kínhcứng),Dây da chính hãng,Eco-Drive (Năng Lượng Ánh Sáng),10 ATM,Nhật Bản,Citizen,4.617.000đ
  BS-17-13054-745E,Nam,"43,0 mm",Sapphire,Dây da,Quartz (Điện tử),10 ATM,Đức,Bruno Sohnle,18.747.000đ
